,AmazonSDETQuestions
356,<p><strong>Round 2:Testing and Automation round(1 hr)</strong></p>
357,<p>The interviewer just started out by asking whether I had previous knowledge about testing and testing environments to which I replied no.Then we discussed about the types of testing and the different phases and the testing procedures that are associated with it. Then she asked me two simple test case generation questions.</p>
358,<p>I gave around 10 test cases for the question as it was pretty much straight forward. And I coded a few by using JUnit testing which is really simple.</p>
359,<p>2. Given a open file module in an editor what are the possible scenarios in which the open file module might give errors.</p>
360,<p>I gave a list of cases which we clearly discussed about the ins and outs of each one.</p>
361,<p>This round was quite easy since I prepared the testing part the previous day.</p>
362,<p><strong>Round 3:Data Structures and Algorithms Round(1hr 15 mins)</strong></p>
363,<p>Two guys interviewed me this round. We just started out with a formal introduction.Then they asked me two questions.</p>
364,"<p>Given a n*n chessboard and a knight which is placed at any one corner, Generate all possible paths following which the knight can cover all the squares.</p>"
365,<p>I started with a approach using BFS. But there was a flaw in my approach which was that the knight would not escape from a cell if all the possible points the knight can go from that given point was explored previously.</p>
366,<p>Then I gave a solution using Backtracking.</p>
367,"<p>Start with a corner.For each and every possible point the knight can reach make recursive calls to those using a simple for loop.Once the count reaches n*n(Example in a 8*8 chessboard,if the count is 64),Print out the traversed path that can be easily maintained in an array. This solves the flaw in my previous approach as we are able to go back to the other possibilty if a dead path is reached.</p>"
368,<p>The interviewer was happy with my approach and asked me to code the solution. I coded it and then we moved on to the next question.</p>
369,"<p>2. <a href=""https://practice.geeksforgeeks.org/problems/intersection-point-in-y-shapped-linked-lists/1"" rel=""noopener"" target=""_blank"">Given a linked list find the intersection point of two linked lists which converge at a common point</a>.</p>"
370,<p>I gave a brute force O(n^2) approach at first then optimised it to O(n) time and O(n) Space approach.Then I finally gave a O(n) time O(1) space solution by finding the absolute difference of the lengths of the two lists.Then they asked me to code the solution which was pretty much straight forward.</p>
371,<p>After this I had the final two rounds on October 31st.</p>
372,<p><strong>Round 4:Hiring Manager Round(1hr)</strong></p>
373,<p>The interviewer asked me to brief about myself.We then settled down on my project for the first few minutes and then the interviewer asked about the interviews that I had attended earlier and how the process went through. Then he started asking about testing and the use of testing corresponding to some given scenarios. After a few minutes of discussion he asked two questions regarding data structures.</p>
374,<p>I gave a O(nlogn) approach at first to find the pairs and print them. The approach was to sort the array and keep two indexes(at each end) left and right and find whether pairs that add up to the given sum and print them until the left and right pointers cross.</p>
375,"<p>Then he asked me if I can optimize it further. I gave a O(n) approach using hashing.I maintained a hashset of integers. Put the first number in the hashset, start from the second element and for each number in the array check whether (Given sum – Current element) is present in the hashset. If so print the pair.</p>"
376,"<p>2. <a href=""https://practice.geeksforgeeks.org/problems/bottom-view-of-binary-tree/1"" rel=""noopener"" target=""_blank"">Given a binary tree print the bottom view of it</a>.</p>"
377,<p>After a few minutes of thinking I came up with an approach by using the horizontal distance of the nodes from the root. We have to keep note of the last node at a particular horizontal distance while traversing using level order traversal. I used a Hashtable to store the last visited node at each horizontal distance.</p>
378,<p>This approach uses O(n) time and O(n) space.</p>
379,<p>He then asked a puzzle.</p>
380,"<p>In a room of 30 people,find the unique number of handshakes given a condition that each one in the room should have shaken hands with everyone.</p>"
381,"<p>I just used a simple logic. In a room of 2 people,there is only one unique hand shake(First person has 1 unique handshake whereas the second one has none). If we consider three people,n = 3 (A,B,C)</p>"
382,"<p>A has two unique handshakes B,C.(n-1 handshakes)</p>"
383,<p>B has 1 unique handshake C.(n-2 handshakes)</p>
384,<p>C doesn’t have any unique handshake.</p>
385,<p>total number of handshakes = n-1 + n-2 = 2n-3  = 3.(which is the sum of first two natural  numbers)</p>
386,<p>Similarly for n persons the unique handshakes would be the sum of first n-1 natural numbers.</p>
387,"<p>For n = 30, Total number of unique handshakes is 29*30/2  = 29*15 = 435.</p>"
388,<p>That’s a wrap. He was happy with the way I approached the solution.</p>
389,<p>He asked if I had any questions for him. I asked about the culture and working environment at amazon.</p>
390,<p><strong>Round 5:Bar Raiser Round(1hr)</strong></p>
391,<p>Two members entered the room and introduced themselves and we just started out with my introduction and my project.</p>
392,<p>They asked me how many rounds I had before the current one. They just asked a few questions about testing at first.Then they asked two coding questions.</p>
393,"<p>I just instantly started with a brute force solution by finding the inorder traversal of the tree.Then sort the array and find the kth largest in the sorted array which is the (n-k)th element from the start index of the array,where n is the total number of nodes in the tree.This uses O(nlogn) time and O(n) space.</p>"
394,<p>They asked me to optimize it further.</p>
395,<p>I gave a O(nlogn) time and O(1) space solution by converting the binary tree into doubly linked list and then finding the kth largest in a doubly linked list which can be done in O(nlogn) time.</p>
396,"<p>But there is a better solution for this which I couldn’t think of during the interview.Just construct a minheap of k elements,Insert elements into the heap by traversing the tree using any traversal.</p>"
397,<p>If the heap root element is smaller than the current node in the tree remove the root element from heap and insert the  new element to the heap. At last after the complete traversal of the tree the kth largest element will be at the root of the heap.This uses O(nlogk) time and O(k) space.</p>
398,<p>But they were happy with my approach as they said me to optimise it either by space or time. I gave a constant space approach so they were satisfied.</p>
399,"<p>2.<a href=""https://practice.geeksforgeeks.org/problems/detect-cycle-in-a-directed-graph/1"" rel=""noopener"" target=""_blank"">Given a directed graph, find whether there exists a cycle or not.If it does exist print it.</a></p>"
400,<p>I gave a solution using BFS. I put a node in the queue and then added all possible nodes that can be reached from the current node. While we traverse the nodes we just mark the node as visited in the hashmap in order to avoid indefinite looping between nodes. They were satisfied with my approach.</p>
401,<p>Finally they asked how HashMap is implemented and how it works(especially how hashcode and index are computed). I designed my own hash function and explained the way get and put functions work in a hashmap. They were happy with my explanation and then they asked how would you modify your hash function in case of collision and discussed in brief about collision handling techniques.</p>
402,<p>They asked if I had any questions for them. I just asked the same question I asked the previous round.</p>
403,"<p>P.S: For each question we have to write the code clearly. Don’t just dive straight into the coding part, explain your approach clearly. Be confident and they don’t want the optimized solution for the question,they see how the candidate approaches the question.<br/></p>"
404,<p>Ques1. Find top 10 selling product given the count of sales of each product.<!--more--></p>
405,<p>Ques2. Design a valet parking lot with basic use-case of assigning ticket to customer and retrieving the car later. Three sizes available. Use best fit and nearest distance.</p>
406,"<p>If you like GeeksforGeeks and wold like to contribute, you can also write an article and mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks.<br/>
<!-- code written only in below-mentioned div will be going to append in each articles having mentioned company name and interview experiences term name. --></p>"
407,<p></p>
408,<p>Ques1. Find top 10 selling product given the count of sales of each product.<!--more--></p>
409,<p>Ques2. Design a valet parking lot with basic use-case of assigning ticket to customer and retrieving the car later. Three sizes available. Use best fit and nearest distance.</p>
410,"<p>If you like GeeksforGeeks and wold like to contribute, you can also write an article and mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks.<br/>
<!-- code written only in below-mentioned div will be going to append in each articles having mentioned company name and interview experiences term name. --></p>"
411,<p></p>
